,season,constructorId,name,nationality
0,1950,adams,Adams,American
1,1950,alfa,Alfa Romeo,Swiss
2,1950,alta,Alta,British
3,1950,cooper,Cooper,British
4,1950,deidt,Deidt,American
5,1950,era,ERA,British
6,1950,ewing,Ewing,American
7,1950,ferrari,Ferrari,Italian
8,1950,kurtis_kraft,Kurtis Kraft,American
9,1950,langley,Langley,American
10,1950,lesovsky,Lesovsky,American
11,1950,marchese,Marchese,American
12,1950,maserati,Maserati,Italian
13,1950,milano,Milano,Italian
14,1950,moore,Moore,American
15,1950,nichels,Nichels,American
16,1950,olson,Olson,American
17,1950,rae,Rae,American
18,1950,simca,Simca,French
19,1950,snowberger,Snowberger,American
20,1950,stevens,Stevens,American
21,1950,lago,Talbot-Lago,French
22,1950,watson,Watson,American
23,1950,wetteroth,Wetteroth,American
24,1951,alfa,Alfa Romeo,Swiss
25,1951,alta,Alta,British
26,1951,brm,BRM,British
27,1951,bromme,Bromme,American
28,1951,deidt,Deidt,American
29,1951,era,ERA,British
30,1951,ferrari,Ferrari,Italian
31,1951,hall,Hall,American
32,1951,hwm,HWM,British
33,1951,kurtis_kraft,Kurtis Kraft,American
34,1951,kuzma,Kuzma,American
35,1951,lesovsky,Lesovsky,American
36,1951,marchese,Marchese,American
37,1951,maserati,Maserati,Italian
38,1951,moore,Moore,American
39,1951,osca,OSCA,Italian
40,1951,pawl,Pawl,American
41,1951,schroeder,Schroeder,American
42,1951,sherman,Sherman,American
43,1951,simca,Simca,French
44,1951,lago,Talbot-Lago,French
45,1951,trevis,Trevis,American
46,1951,veritas,Veritas,German
47,1951,watson,Watson,American
48,1952,afm,AFM,German
49,1952,alta,Alta,British
50,1952,butterworth,Aston Butterworth,British
51,1952,bmw,BMW,German
52,1952,bromme,Bromme,American
53,1952,cisitalia,Cisitalia,Italian
54,1952,connaught,Connaught,British
55,1952,cooper,Cooper,British
56,1952,deidt,Deidt,American
57,1952,era,ERA,British
58,1952,ferrari,Ferrari,Italian
59,1952,frazer_nash,Frazer Nash,British
60,1952,gordini,Gordini,French
61,1952,hwm,HWM,British
62,1952,kurtis_kraft,Kurtis Kraft,American
63,1952,kuzma,Kuzma,American
64,1952,lesovsky,Lesovsky,American
65,1952,maserati,Maserati,Italian
66,1952,osca,OSCA,Italian
67,1952,sherman,Sherman,American
68,1952,simca,Simca,French
69,1952,stevens,Stevens,American
70,1952,trevis,Trevis,American
71,1952,veritas,Veritas,German
72,1952,watson,Watson,American
73,1953,afm,AFM,German
74,1953,bmw,BMW,German
75,1953,bromme,Bromme,American
76,1953,connaught,Connaught,British
77,1953,cooper,Cooper,British
78,1953,del_roy,Del Roy,American
79,1953,emw,EMW,East German
80,1953,ferrari,Ferrari,Italian
81,1953,gordini,Gordini,French
82,1953,hwm,HWM,British
83,1953,kurtis_kraft,Kurtis Kraft,American
84,1953,kuzma,Kuzma,American
85,1953,lesovsky,Lesovsky,American
86,1953,maserati,Maserati,Italian
87,1953,osca,OSCA,Italian
88,1953,schroeder,Schroeder,American
89,1953,simca,Simca,French
90,1953,stevens,Stevens,American
91,1953,turner,Turner,American
92,1953,veritas,Veritas,German
93,1953,watson,Watson,American
94,1954,bromme,Bromme,American
95,1954,connaught,Connaught,British
96,1954,cooper,Cooper,British
97,1954,ferrari,Ferrari,Italian
98,1954,gordini,Gordini,French
99,1954,hwm,HWM,British
100,1954,klenk,Klenk,German
101,1954,kurtis_kraft,Kurtis Kraft,American
102,1954,kuzma,Kuzma,American
103,1954,lancia,Lancia,Italian
104,1954,maserati,Maserati,Italian
105,1954,mercedes,Mercedes,German
106,1954,nichels,Nichels,American
107,1954,pankratz,Pankratz,American
108,1954,pawl,Pawl,American
109,1954,phillips,Phillips,American
110,1954,schroeder,Schroeder,American
111,1954,stevens,Stevens,American
112,1954,vanwall,Vanwall,British
113,1955,arzani-volpini,Arzani-Volpini,Italian
114,1955,connaught,Connaught,British
115,1955,cooper,Cooper,British
116,1955,epperly,Epperly,American
117,1955,ferrari,Ferrari,Italian
118,1955,gordini,Gordini,French
119,1955,hwm,HWM,British
120,1955,kurtis_kraft,Kurtis Kraft,American
121,1955,kuzma,Kuzma,American
122,1955,lancia,Lancia,Italian
123,1955,maserati,Maserati,Italian
124,1955,mercedes,Mercedes,German
125,1955,pankratz,Pankratz,American
126,1955,pawl,Pawl,American
127,1955,phillips,Phillips,American
128,1955,schroeder,Schroeder,American
129,1955,stevens,Stevens,American
130,1955,trevis,Trevis,American
131,1955,vanwall,Vanwall,British
132,1956,brm,BRM,British
133,1956,bugatti,Bugatti,French
134,1956,connaught,Connaught,British
135,1956,cooper,Cooper,British
136,1956,emeryson,Emeryson,British
137,1956,ferrari,Ferrari,Italian
138,1956,gordini,Gordini,French
139,1956,kurtis_kraft,Kurtis Kraft,American
140,1956,kuzma,Kuzma,American
141,1956,lesovsky,Lesovsky,American
142,1956,maserati,Maserati,Italian
143,1956,phillips,Phillips,American
144,1956,stevens,Stevens,American
145,1956,vanwall,Vanwall,British
146,1956,watson,Watson,American
147,1957,brm,BRM,British
148,1957,connaught,Connaught,British
149,1957,cooper,Cooper,British
150,1957,dunn,Dunn,American
151,1957,epperly,Epperly,American
152,1957,ferrari,Ferrari,Italian
153,1957,kurtis_kraft,Kurtis Kraft,American
154,1957,kuzma,Kuzma,American
155,1957,lesovsky,Lesovsky,American
156,1957,maserati,Maserati,Italian
157,1957,phillips,Phillips,American
158,1957,porsche,Porsche,German
159,1957,vanwall,Vanwall,British
160,1957,watson,Watson,American
161,1958,brm,BRM,British
162,1958,connaught,Connaught,British
163,1958,cooper,Cooper,British
164,1958,dunn,Dunn,American
165,1958,epperly,Epperly,American
166,1958,ferrari,Ferrari,Italian
167,1958,kurtis_kraft,Kurtis Kraft,American
168,1958,kuzma,Kuzma,American
169,1958,lesovsky,Lesovsky,American
170,1958,maserati,Maserati,Italian
171,1958,osca,OSCA,Italian
172,1958,phillips,Phillips,American
173,1958,porsche,Porsche,German
174,1958,team_lotus,Team Lotus,British
175,1958,vanwall,Vanwall,British
176,1958,watson,Watson,American
177,1959,aston_martin,Aston Martin,British
178,1959,brm,BRM,British
179,1959,vhristensen,Christensen,American
180,1959,connaught,Connaught,British
181,1959,cooper-borgward,Cooper-Borgward,British
182,1959,cooper-climax,Cooper-Climax,British
183,1959,cooper-maserati,Cooper-Maserati,British
184,1959,cooper-osca,Cooper-OSCA,British
185,1959,dunn,Dunn,American
186,1959,elder,Elder,American
187,1959,epperly,Epperly,American
188,1959,ferrari,Ferrari,Italian
189,1959,fry,Fry,British
190,1959,jbw,JBW,British
191,1959,kurtis_kraft,Kurtis Kraft,American
192,1959,kuzma,Kuzma,American
193,1959,lesovsky,Lesovsky,American
194,1959,maserati,Maserati,Italian
195,1959,moore,Moore,American
196,1959,phillips,Phillips,American
197,1959,porsche,Porsche,German
198,1959,sutton,Sutton,American
199,1959,team_lotus,Team Lotus,British
200,1959,tec-mec,Tec-Mec,Italian
201,1959,vanwall,Vanwall,British
202,1959,watson,Watson,American
203,1960,aston_martin,Aston Martin,British
204,1960,behra-porsche,Behra-Porsche,Italian
205,1960,brm,BRM,British
206,1960,vhristensen,Christensen,American
207,1960,cooper-castellotti,Cooper-Castellotti,British
208,1960,cooper-climax,Cooper-Climax,British
209,1960,cooper-maserati,Cooper-Maserati,British
210,1960,epperly,Epperly,American
211,1960,ewing,Ewing,American
212,1960,ferrari,Ferrari,Italian
213,1960,jbw,JBW,British
214,1960,kurtis_kraft,Kurtis Kraft,American
215,1960,kuzma,Kuzma,American
216,1960,lesovsky,Lesovsky,American
217,1960,maserati,Maserati,Italian
218,1960,meskowski,Meskowski,American
219,1960,phillips,Phillips,American
220,1960,porsche,Porsche,German
221,1960,scarab,Scarab,American
222,1960,team_lotus,Team Lotus,British
223,1960,trevis,Trevis,American
224,1960,vanwall,Vanwall,British
225,1960,watson,Watson,American
226,1961,brm,BRM,British
227,1961,cooper-climax,Cooper-Climax,British
228,1961,cooper-maserati,Cooper-Maserati,British
229,1961,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
230,1961,de_tomaso-osca,De Tomaso-Osca,Italian
231,1961,emeryson,Emeryson,British
232,1961,ferguson,Ferguson,British
233,1961,ferrari,Ferrari,Italian
234,1961,gilby,Gilby,British
235,1961,jbw,JBW,British
236,1961,lotus-climax,Lotus-Climax,British
237,1961,lotus-maserati,Lotus-Maserati,British
238,1961,mbm,MBM,Swiss
239,1961,porsche,Porsche,German
240,1962,brabham,Brabham,British
241,1962,brm,BRM,British
242,1962,cooper,Cooper,British
243,1962,cooper-alfa_romeo,Cooper-Alfa Romeo,British
244,1962,cooper-climax,Cooper-Climax,British
245,1962,tomaso,De Tomaso,Italian
246,1962,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
247,1962,de_tomaso-osca,De Tomaso-Osca,Italian
248,1962,emeryson,Emeryson,British
249,1962,enb,ENB,Belgian
250,1962,ferrari,Ferrari,Italian
251,1962,gilby,Gilby,British
252,1962,lds,LDS,South African
253,1962,lola,Lola,British
254,1962,lotus-borgward,Lotus-Borgward,British
255,1962,lotus-brm,Lotus-BRM,British
256,1962,lotus-climax,Lotus-Climax,British
257,1962,porsche,Porsche,German
258,1962,team_lotus,Team Lotus,British
259,1963,alfa,Alfa Romeo,Swiss
260,1963,ats,ATS,Italian
261,1963,brabham,Brabham,British
262,1963,brm,BRM,British
263,1963,brp,BRP,British
264,1963,cooper-climax,Cooper-Climax,British
265,1963,cooper-maserati,Cooper-Maserati,British
266,1963,tomaso,De Tomaso,Italian
267,1963,de_tomaso-ferrari,De Tomaso-Ferrari,Italian
268,1963,ferrari,Ferrari,Italian
269,1963,gilby,Gilby,British
270,1963,lds,LDS,South African
271,1963,lola,Lola,British
272,1963,lotus-borgward,Lotus-Borgward,British
273,1963,lotus-brm,Lotus-BRM,British
274,1963,lotus-climax,Lotus-Climax,British
275,1963,lotus-ford,Lotus-Ford,British
276,1963,lotus-maserati,Lotus-Maserati,British
277,1963,porsche,Porsche,German
278,1963,scirocco,Scirocco,British
279,1963,stebro,Stebro,Canadian
280,1963,team_lotus,Team Lotus,British
281,1964,brabham-brm,Brabham-BRM,British
282,1964,brabham-climax,Brabham-Climax,British
283,1964,brabham-ford,Brabham-Ford,British
284,1964,brm,BRM,British
285,1964,brp,BRP,British
286,1964,cooper-climax,Cooper-Climax,British
287,1964,derrington,Derrington,British
288,1964,ferrari,Ferrari,Italian
289,1964,honda,Honda,Japanese
290,1964,lotus-brm,Lotus-BRM,British
291,1964,lotus-climax,Lotus-Climax,British
292,1964,porsche,Porsche,German
293,1964,scirocco,Scirocco,British
