,season,round,position,constructorId,points,wins
0,1958,1,1,cooper,8.0,1
1,1958,1,2,ferrari,6.0,0
2,1958,1,3,maserati,3.0,0
3,1958,2,1,cooper,16.0,2
4,1958,2,2,ferrari,12.0,0
5,1958,2,3,maserati,3.0,0
6,1958,2,4,brm,2.0,0
7,1958,2,5,team_lotus,0.0,0
8,1958,2,6,vanwall,0.0,0
9,1958,2,7,connaught,0.0,0
10,1958,2,8,osca,0.0,0
11,1958,3,1,cooper,19.0,2
12,1958,3,2,ferrari,14.0,0
13,1958,3,3,vanwall,8.0,1
14,1958,3,4,brm,8.0,0
15,1958,3,5,maserati,3.0,0
16,1958,3,6,team_lotus,0.0,0
17,1958,3,7,porsche,0.0,0
18,1958,3,8,connaught,0.0,0
19,1958,3,9,osca,0.0,0
20,1958,4,1,cooper,19.0,2
21,1958,4,2,ferrari,14.0,0
22,1958,4,3,vanwall,8.0,1
23,1958,4,4,brm,8.0,0
24,1958,4,5,maserati,3.0,0
25,1958,4,6,team_lotus,0.0,0
26,1958,4,7,porsche,0.0,0
27,1958,4,8,connaught,0.0,0
28,1958,4,9,osca,0.0,0
29,1958,5,1,ferrari,20.0,0
30,1958,5,2,cooper,19.0,2
31,1958,5,3,vanwall,16.0,2
32,1958,5,4,brm,10.0,0
33,1958,5,5,maserati,3.0,0
34,1958,5,6,team_lotus,3.0,0
35,1958,5,7,porsche,0.0,0
36,1958,5,8,connaught,0.0,0
37,1958,5,9,osca,0.0,0
38,1958,6,1,ferrari,28.0,1
39,1958,6,2,vanwall,22.0,2
40,1958,6,3,cooper,19.0,2
41,1958,6,4,brm,10.0,0
42,1958,6,5,maserati,6.0,0
43,1958,6,6,team_lotus,3.0,0
44,1958,6,7,porsche,0.0,0
45,1958,6,8,connaught,0.0,0
46,1958,6,9,osca,0.0,0
47,1958,7,1,ferrari,36.0,2
48,1958,7,2,vanwall,25.0,2
49,1958,7,3,cooper,23.0,2
50,1958,7,4,brm,12.0,0
51,1958,7,5,maserati,6.0,0
52,1958,7,6,team_lotus,3.0,0
53,1958,7,7,porsche,0.0,0
54,1958,7,8,connaught,0.0,0
55,1958,7,9,osca,0.0,0
56,1958,8,1,ferrari,37.0,2
57,1958,8,2,vanwall,33.0,3
58,1958,8,3,cooper,29.0,2
59,1958,8,4,brm,12.0,0
60,1958,8,5,maserati,6.0,0
61,1958,8,6,team_lotus,3.0,0
62,1958,8,7,porsche,0.0,0
63,1958,8,8,connaught,0.0,0
64,1958,8,9,osca,0.0,0
65,1958,9,1,vanwall,41.0,4
66,1958,9,2,ferrari,40.0,2
67,1958,9,3,cooper,29.0,2
68,1958,9,4,brm,15.0,0
69,1958,9,5,maserati,6.0,0
70,1958,9,6,team_lotus,3.0,0
71,1958,9,7,porsche,0.0,0
72,1958,9,8,connaught,0.0,0
73,1958,9,9,osca,0.0,0
74,1958,10,1,vanwall,46.0,5
75,1958,10,2,ferrari,40.0,2
76,1958,10,3,cooper,31.0,2
77,1958,10,4,brm,15.0,0
78,1958,10,5,maserati,6.0,0
79,1958,10,6,team_lotus,3.0,0
80,1958,10,7,porsche,0.0,0
81,1958,10,8,connaught,0.0,0
82,1958,10,9,osca,0.0,0
83,1958,11,1,vanwall,48.0,6
84,1958,11,2,ferrari,40.0,2
85,1958,11,3,cooper,31.0,2
86,1958,11,4,brm,18.0,0
87,1958,11,5,maserati,6.0,0
88,1958,11,6,team_lotus,3.0,0
89,1958,11,7,porsche,0.0,0
90,1958,11,8,connaught,0.0,0
91,1958,11,9,osca,0.0,0
92,1959,1,1,cooper-climax,8.0,1
93,1959,1,2,ferrari,6.0,0
94,1959,1,3,cooper-maserati,0.0,0
95,1959,1,4,brm,0.0,0
96,1959,1,5,team_lotus,0.0,0
97,1959,1,6,porsche,0.0,0
98,1959,1,7,maserati,0.0,0
99,1959,2,1,cooper-climax,8.0,1
100,1959,2,2,ferrari,6.0,0
101,1959,2,3,cooper-maserati,0.0,0
102,1959,2,4,brm,0.0,0
103,1959,2,5,team_lotus,0.0,0
104,1959,2,6,porsche,0.0,0
105,1959,2,7,maserati,0.0,0
106,1959,3,1,cooper-climax,14.0,1
107,1959,3,2,brm,8.0,1
108,1959,3,3,ferrari,8.0,0
109,1959,3,4,team_lotus,3.0,0
110,1959,3,5,cooper-maserati,0.0,0
111,1959,3,6,porsche,0.0,0
112,1959,3,7,aston_martin,0.0,0
113,1959,3,8,maserati,0.0,0
114,1959,4,1,cooper-climax,18.0,1
115,1959,4,2,ferrari,16.0,1
116,1959,4,3,brm,8.0,1
117,1959,4,4,team_lotus,3.0,0
118,1959,4,5,cooper-maserati,0.0,0
119,1959,4,6,maserati,0.0,0
120,1959,4,7,porsche,0.0,0
121,1959,4,8,aston_martin,0.0,0
122,1959,5,1,cooper-climax,26.0,2
123,1959,5,2,ferrari,16.0,1
124,1959,5,3,brm,14.0,1
125,1959,5,4,team_lotus,3.0,0
126,1959,5,5,aston_martin,0.0,0
127,1959,5,6,cooper-maserati,0.0,0
128,1959,5,7,maserati,0.0,0
129,1959,5,8,cooper-borgward,0.0,0
130,1959,5,9,porsche,0.0,0
131,1959,5,10,jbw,0.0,0
132,1959,5,11,vanwall,0.0,0
