,season,round,raceName,circuitId,circuitName,lat,long,locality,country,date,sprint,url
0,1950,1,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1950-05-13,,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1,1950,2,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,1950-05-21,,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
2,1950,3,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,1950-05-30,,http://en.wikipedia.org/wiki/1950_Indianapolis_500
3,1950,4,Swiss Grand Prix,bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,1950-06-04,,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
4,1950,5,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1950-06-18,,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
5,1950,6,French Grand Prix,reims,Reims-Gueux,49.2542,3.93083,Reims,France,1950-07-02,,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
6,1950,7,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1950-09-03,,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
7,1951,1,Swiss Grand Prix,bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,1951-05-27,,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
8,1951,2,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,1951-05-30,,http://en.wikipedia.org/wiki/1951_Indianapolis_500
9,1951,3,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1951-06-17,,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
10,1951,4,French Grand Prix,reims,Reims-Gueux,49.2542,3.93083,Reims,France,1951-07-01,,http://en.wikipedia.org/wiki/1951_French_Grand_Prix
11,1951,5,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1951-07-14,,http://en.wikipedia.org/wiki/1951_British_Grand_Prix
12,1951,6,German Grand Prix,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,1951-07-29,,http://en.wikipedia.org/wiki/1951_German_Grand_Prix
13,1951,7,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1951-09-16,,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
14,1951,8,Spanish Grand Prix,pedralbes,Circuit de Pedralbes,41.3903,2.11667,Barcelona,Spain,1951-10-28,,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
15,1952,1,Swiss Grand Prix,bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,1952-05-18,,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
16,1952,2,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,1952-05-30,,http://en.wikipedia.org/wiki/1952_Indianapolis_500
17,1952,3,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,1952-06-22,,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
18,1952,4,French Grand Prix,essarts,Rouen-Les-Essarts,49.3306,1.00458,Rouen,France,1952-07-06,,http://en.wikipedia.org/wiki/1952_French_Grand_Prix
19,1952,5,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1952-07-19,,http://en.wikipedia.org/wiki/1952_British_Grand_Prix
20,1952,6,German Grand Prix,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,1952-08-03,,http://en.wikipedia.org/wiki/1952_German_Grand_Prix
21,1952,7,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,1952-08-17,,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
22,1952,8,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,1952-09-07,,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
23,1953,1,Argentine Grand Prix,galvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,1953-01-18,,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
24,1953,2,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,1953-05-30,,http://en.wikipedia.org/wiki/1953_Indianapolis_500
25,1953,3,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,1953-06-07,,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
